Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,LCSC Part Number
BOOT_BUTTON,64.00,108.41,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,157.48,6.35,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,20.76,108.27,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,95.25,52.07,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,114.30,55.88,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,113.12,41.01,0.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,127.91,44.24,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,156.21,6.35,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,127.00,56.97,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,124.46,43.18,270.00,100uF TANT,RCL_CT3528
C4,68.69,29.26,90.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,152.12,50.80,180.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,45.43,108.23,270.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,152.06,49.31,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C6,60.64,108.25,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,91.43,33.78,90.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,92.53,51.43,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,6.26,101.30,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,24.00,108.45,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,118.11,55.88,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,51.38,100.64,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,152.40,54.61,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,48.26,31.75,90.00,PGB1010603MR,DIOC1608X36N
D11,45.72,31.75,90.00,PGB1010603MR,DIOC1608X36N
D12,11.49,98.89,0.00,PGB1010603MR,DIOC1608X36N
D2,112.49,44.45,90.00,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,87.62,32.51,180.00,MBR0530,SOD3716X135N
D4,87.62,28.70,0.00,MBR0530,SOD3716X135N
D5,76.50,39.14,180.00,MBR0530,SOD3716X135N
D6,71.54,26.42,0.00,PGB1010603MR,DIOC1608X36N
D7,87.72,65.22,0.00,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,41.91,31.75,90.00,PGB1010603MR,DIOC1608X36N
D9,33.11,43.23,270.00,PGB1010603MR,DIOC1608X36N
EPD_C1,91.44,21.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,73.66,21.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,69.13,19.14,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,67.59,19.22,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,88.90,21.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,86.36,21.59,90.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,83.82,21.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,81.28,21.59,270.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,78.74,21.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,76.20,21.59,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1,48.26,100.33,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,116.84,44.45,0.00,XC6220A331MR-G,SOT95P280X120-5N
J1,81.28,14.17,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,166.67,54.36,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,167.09,19.30,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,8.35,88.93,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,77.45,33.66,270.00,68uH,IND_4828-WE-TPC_WRE
MCP73831,121.92,54.61,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,151.13,45.72,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,128.27,50.85,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,73.17,29.30,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,64.41,17.50,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
